"","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40"
"11",152185.614246727,115602.890594599,100385.104742165,100391.989702957,97263.2153994401,78795.5574116505,64396.74700782,49686.5556590182,38659.6700812237,38296.9285473708,33664.8896048252,32953.4766874735,29175.1357923516,29159.2584060907,29347.099819003,30098.4555518586,30114.4257483118,29280.9485651441,28954.1730065464,29122.6875432847,29277.6573379095,29818.9322267089,29045.6280965061,28127.6766482413,29508.1167975128,28636.1879865535,29754.9840922978,32787.4944089506,32993.2353900808,31100.5955947806,23331.7854201987,18669.4359262798,18364.9881255468,16007.8695646421,15435.910369438,14648.0995172222,12722.7836296223,12504.4681987902,12234.1346635841
"12",153048.124631345,117711.844193017,102020.111024329,100202.807624566,97344.8936336289,75870.0166378186,53698.7870903687,44085.8472437664,36199.9850142365,35624.5691678218,32153.1435830605,31272.3194589103,28346.8030602299,28325.2437892716,28694.0053043051,29185.975318227,29310.8340814216,28351.3989630809,28626.5526252299,28607.1421708423,28383.0207305035,28211.0135405092,29127.3502787451,28779.8026737712,30354.0466334516,29974.1792138934,30517.4750627809,31871.232477912,32485.3728077473,30617.861935074,22497.6527252193,17437.8889376484,16253.7136402988,14577.1074176979,12957.4530619923,12490.7906200243,11550.7529164587,11169.4649171722,11683.4307939552
"13",127611.985289685,99235.4995717782,86478.3369995564,85197.5960844258,85798.8005468233,61558.0783825137,48382.7217218492,36795.2764692875,31821.186559948,29967.2764688062,27264.6995097224,26477.9010903251,24754.4482972862,24699.0314045041,25090.4288593869,25305.6706095999,25470.4910489417,24592.7344463989,24879.0393123372,24681.8097909914,24788.0772225319,24567.8019051958,25164.8090449974,24792.1645398821,25895.586092677,25525.296146736,26090.8224188414,28827.6530767288,29514.5015493278,27982.9036271365,21653.0904391277,17873.0872719547,16624.0240537497,15319.6913694659,14802.6961722988,14543.8845070936,11730.7172194303,11203.087726919,11058.1334815367
"14",203614.905058773,162732.88638696,149055.328624677,146006.421269046,144119.440210832,105421.063797461,84409.7416078098,68672.4850711989,54846.5682379378,51343.4704710818,46883.4621412134,46333.7783652021,41677.5745001013,41598.1166113743,42542.1159667555,42745.7342652901,42859.9415829593,41366.2124952103,42261.1949970838,41998.5280496245,42266.951072868,41917.3301593538,42646.2692206349,41254.7709633742,43237.2778255891,42136.3544914781,43800.2655258206,50792.4773560628,52296.7362264082,49597.7917388554,32194.2867337371,26697.1543155881,24341.6611535748,22305.7497772307,21495.2673594638,20773.2221968264,17147.2943473706,16895.2282321691,18338.1826900645
"15",172585.363621806,137392.318934426,123042.90291998,121626.796321393,118818.266630028,86278.5018147931,71234.9459848033,NA,44482.884275419,42194.3505088641,38191.4232388624,37562.4840412521,33890.0063392517,33881.3984733484,34396.1280999842,34885.6884125389,35152.2723555765,34020.2290391111,34100.0604988231,34017.9322808647,34180.2451826902,33817.7643158735,34180.0103528857,33013.3514719022,34783.4832519109,33072.9901438005,33598.0335843611,36980.7788743453,37955.4882921872,35911.2434957459,27347.6313167093,21067.0401223766,19408.9803592144,18298.6251651,18277.4725531855,16828.8911585336,14224.5183837502,14231.560337207,14170.8087662479
"16",111074.762299436,84206.573904637,75400.7789149533,75124.9406283183,73547.1422456112,59968.7929388202,45231.9858422864,34613.2786025265,28510.4347263088,26601.2248231856,24302.2412964066,24003.9136392577,21871.9471808772,21903.9351851852,22003.0287405555,22332.8250531663,22589.3878089542,21920.7308894176,21853.0669837339,21823.9832175311,21848.4937664368,21700.4468112587,22179.5041106745,21811.2757920623,22653.8198831653,21969.331817846,23179.2302160629,26569.5996733655,27329.8976780525,25559.5220476369,NA,16100.0432390756,14818.5413956942,13100.9116619227,12914.6638292411,12110.5787097177,11171.8187578981,11042.1304658294,10459.6975499134
"17",117697.760473169,91612.5561435774,80206.6683026802,79097.1168437026,78301.1646910362,62836.7622620239,46442.0917548925,35152.99824588,32322.6090388969,30065.7881855383,27487.8418433739,26805.7366362451,25200.6053856478,25204.4515639491,25961.5384615385,25797.9424953838,26013.7149672033,25124.2647066378,25338.8649607297,25183.0451333846,25272.7484304685,24975.4894410468,25961.748225338,25345.573167628,26903.3713157003,25826.2247363494,26342.4377197357,28552.3736126931,29622.9338842975,27551.4752026005,23280.8388780675,21059.1455779143,19262.8663332345,17826.3869604296,17055.0437408067,16810.6471879956,NA,NA,NA
"18",95344.4405057308,78267.9319483628,71482.8547083343,69259.3740316083,66912.9948260007,52227.2825969373,36430.0766712998,27871.80924776,23790.3250673755,21580.3924194737,19551.973005905,19446.1538461538,18057.178384984,18066.800970064,18485.5044781188,18646.2494451842,18732.4053800438,18178.7075200249,18109.269490485,18033.6270537663,18144.7544259865,18095.6355840849,18179.5041543307,17647.4672275955,18487.3369592759,18137.1750574422,19639.6942223533,20148.6202671107,20795.0696940912,20085.5453121389,17370.9066795478,13428.8409085116,12546.7708036015,11132.9284048135,NA,8750.90057636888,NA,NA,NA
"19",80291.1439009884,66741.4496058803,60572.0771236708,59405.9405940594,58742.6420920583,41644.5631668325,33903.8244837251,25190.0557576085,22708.8036117381,21748.5617113805,19518.3349657419,19085.7540191577,17699.6823731678,17725.07916595,17989.1158290782,18059.3732820231,18194.788057588,17590.2333344571,17847.1056634965,17958.0160124976,17868.8602549393,17766.0405486169,18314.7697293079,18290.1323036909,19085.3872331649,18395.6785165352,19554.0107211255,21060.8618493026,21101.3859865987,19874.6584031115,17051.7582639672,12210.9617961766,11188.0364469088,10282.9902129407,9917.37571411207,9643.11873136885,8755.56231098625,8448.31072610064,NA
"20",99266.5036674817,78173.4014017479,70501.9514427218,NA,68903.8958710881,49069.2124105012,36590.0383141762,27964.8845090116,24946.6496819461,22443.8452129434,20265.780730897,20004.8011522765,NA,18161.3798433274,18372.1477299459,18515.1515151515,18612.2047244095,18047.4481154183,18236.9672153673,18388.4302634227,18412.9070287052,18268.9702062022,18674.3291915496,18338.3382909337,19282.108787312,19057.1395289793,18289.5689737629,20606.1155982397,21793.8982711973,20869.7642313903,16776.1305455443,13186.6691306143,11854.8751012762,10325.9437554031,10266.6833604607,10015.4469382327,NA,NA,NA
"21",68825.4936719298,58322.1409415518,53203.8202590705,49698.4089902627,48444.6950602907,38592.5766707649,26044.228368204,19647.3281437797,17830.6753588401,17002.3279513772,15218.0614542355,15070.4458933426,13973.7603222027,13981.308390348,14186.8660034322,14321.1246208203,14383.0925943011,13941.0577443269,14168.7834571866,14096.642308781,14103.2356003508,13954.0773620478,14324.0501965233,14276.9228239536,14965.873318996,14637.0631929544,14868.679163206,16420.5496993091,16860.3288860545,15970.8154100937,12800.6299725868,10426.0902790557,10141.7009265006,8302.58054180942,6894.24753050552,6645.28804650212,5439.62449226022,5242.34265801469,4523.68433190351
"22",125832.264369922,121812.207391899,111885.216389429,NA,76186.7592383378,68505.1494112983,51260.9471669148,47964.3318080488,31150.4038419559,28541.3460759699,25887.1701546861,NA,23497.2677595628,23478.4093201794,23506.8629726083,24068.0037779877,24127.4961040844,23359.416580792,23362.890820006,23282.0585161294,23436.2730688229,23218.4808144088,23468.9042448174,23432.1542722446,24752.4038886494,24011.4503893279,25309.8128963058,25906.2683900603,27634.8628925525,26371.4778477557,23821.0799889038,14609.315766919,13476.3707931114,12041.6096035116,10942.6495031639,10394.8763833872,10342.3468178477,10018.6185530157,NA
"23",171508.630118436,136894.417668245,119837.429367241,117737.018379305,112353.569729278,99274.1582490991,69197.8560769863,54232.8752090121,44741.7991126579,42554.1278837905,38165.7530534739,37379.3264533778,34350.405040504,34228.9356698398,34524.0552514986,34784.7891535193,34934.5279212874,33864.0532973791,34250.3714510527,34218.8356490185,34027.7641422372,33537.2535501084,34733.6868986504,34632.7563101747,36457.8153397778,34516.7379692199,35821.2951576307,42297.0099847015,44504.6712572878,41982.6567645426,25931.3814714016,20134.6800178767,19018.562373095,16522.5262903547,15357.3660206543,15070.5553988651,12802.3926011439,12282.5128887411,11019.0715225091
